Total floor area,Window fraction,Annual Average temperature,Occupancy level,Total heating and cooling energy use - GJ
2500,0.14,52.5,4.2,489.62
2500,0.14,52.5,3.92,489.99
2500,0.14,52.5,2.69,490.83
2500,0.14,52.5,2.36,490.01
2500,0.14,52.5,4.05,489.73
2500,0.14,52.5,2.11,491.5
2500,0.14,52.5,3.05,491.19
2500,0.14,52.5,2.45,489.28
2500,0.14,52.5,2.24,488.69
2500,0.14,52.5,1.96,489.03
2500,0.14,52.5,2.06,489.13
2500,0.14,52.5,1.46,490.48
2500,0.14,52.5,4.31,489.36
2500,0.14,52.5,2.79,490.79
2500,0.14,52.5,4.55,490.86
2500,0.14,52.5,4.73,489.84
2500,0.14,52.5,2.54,488.83
2500,0.14,52.5,3.18,490.69
2500,0.14,52.5,1.71,491.16
2500,0.14,52.5,1.85,489.72
2500,0.14,52.5,1.59,490.7
2500,0.14,52.5,2.93,489.29
2500,0.14,52.5,4.78,490.17
2500,0.14,52.5,2.97,490.03
2500,0.14,52.5,2.5,490.87
2500,0.14,52.5,1.34,489.12
2500,0.14,52.5,3.64,489.53
2500,0.14,52.5,2.59,490.54
2500,0.14,52.5,1.89,490.46
2500,0.14,52.5,4,488.94
2500,0.14,52.5,2.21,489.38
2500,0.14,52.5,3.36,490.32
2500,0.14,52.5,3.98,489.39
2500,0.14,52.5,1.61,489.22
2500,0.14,52.5,3.39,490.43
2500,0.14,52.5,3.3,489.07
2500,0.14,52.5,2.31,489.41
2500,0.14,52.5,2.12,489.74
2500,0.14,52.5,3.79,490.24
2500,0.14,52.5,3.51,488.94
2500,0.14,52.5,2.48,490.96
2500,0.14,52.5,3.82,490.19
2500,0.14,52.5,3.86,489.91
2500,0.14,52.5,2.64,488.71
2500,0.14,52.5,2.39,489.55
2500,0.14,52.5,4.13,488.99
2500,0.14,52.5,3,489.91
2500,0.14,52.5,1.37,489.42
2500,0.14,52.5,1.22,489.41
2500,0.14,52.5,3.25,490.84
2500,0.14,52.5,3.75,489.11
2500,0.14,52.5,1.83,489.42
2500,0.14,52.5,3.07,489.9
2500,0.14,52.5,1.79,488.53
2500,0.14,52.5,2.61,488.97
2500,0.14,45.85,2.38,730.91
2500,0.14,45.85,1.77,731.17
2500,0.14,45.85,2.25,731.74
2500,0.14,45.85,4.08,730.23
2500,0.14,45.85,2.71,729.64
2500,0.14,45.85,3.57,730.32
2500,0.14,45.85,4.57,731.32
2500,0.14,45.85,3.22,729.31
2500,0.14,45.85,2.82,731.41
2500,0.14,45.85,3.42,729.68
2500,0.14,45.85,2.56,728.76
2500,0.14,45.85,2.29,729.65
2500,0.14,45.85,2.75,731.43
2500,0.14,45.85,2.15,731.29
2500,0.14,45.85,3.02,729.17
2500,0.14,45.85,3.13,729.56
2500,0.14,45.85,2.96,730.19
2500,0.14,45.85,4.9,729.16
2500,0.14,45.85,4.23,730.25
2500,0.14,45.85,3.15,729.22
2500,0.14,45.85,2.44,730.61
2500,0.14,45.85,4.47,730.62
2500,0.14,45.85,2.05,729.42
2500,0.14,45.85,3.09,730.36
2500,0.14,45.85,2.52,729.84
2500,0.14,45.85,1.54,730.98
2500,0.14,45.85,3.35,729.86
2500,0.14,45.85,1.99,730.29
2500,0.14,45.85,3.29,731.19
2500,0.14,45.85,2.18,730.65
2500,0.14,45.85,2.66,730.22
2500,0.14,45.85,2.84,730.27
2500,0.14,45.85,4.37,731.45
2500,0.14,45.85,3.2,729.23
2500,0.14,45.85,1.93,728.35
2500,0.14,45.85,2.4,730.39
2500,0.14,45.85,2.33,730.06
2500,0.14,45.85,3.47,731.12
2500,0.14,45.85,2.76,730.75
2500,0.14,45.85,3.62,729.96
2500,0.14,45.85,2.57,729.72
2500,0.14,45.85,3.49,731.06
2500,0.14,45.85,2.69,730.81
2500,0.14,45.85,2.02,729.5
2500,0.14,45.85,3.57,729.23
2500,0.14,45.85,1.65,729.88
2500,0.14,45.85,4.2,729.97
2500,0.14,45.85,3.92,730.39
2500,0.14,45.85,2.69,731.22
2500,0.14,45.85,2.36,730.53
2500,0.14,45.85,4.05,730.61
2500,0.14,45.85,2.11,731.78
2500,0.14,45.85,3.05,731.5
2500,0.14,45.85,2.45,729.33
2500,0.14,45.85,2.24,728.93
2500,0.14,45.85,1.96,729.46
2500,0.14,45.85,2.06,729.54
2500,0.14,45.85,1.46,731.11
2500,0.14,45.85,4.31,730.16
2500,0.14,45.85,2.79,731.72
2500,0.14,45.85,4.55,731.8
2500,0.14,45.85,4.73,730.75
2500,0.14,45.85,2.54,729.09
2500,0.14,45.85,3.18,730.82
2500,0.14,45.85,1.71,731.55
2500,0.14,45.85,1.85,730.47
2500,0.14,45.85,1.59,731.21
2500,0.14,45.85,2.93,729.82
2500,0.14,45.85,4.78,730.62
2500,0.14,45.85,2.97,730.69
2500,0.14,45.85,2.5,731.3
2500,0.14,45.85,1.34,729.77
2500,0.14,45.85,3.64,729.7
2500,0.14,45.85,2.59,731.11
2500,0.14,45.85,1.89,731.24
2500,0.14,45.85,4,729.12
2500,0.14,45.85,2.21,729.81
2500,0.14,45.85,3.36,730.79
2500,0.14,45.85,3.98,730.06
2500,0.14,45.85,1.61,729.55
2500,0.14,45.85,3.39,730.24
2500,0.14,45.85,3.3,729.63
2500,0.14,45.85,2.31,730.07
2500,0.14,45.85,2.12,730.4
2500,0.14,45.85,3.79,731.04
2500,0.14,45.85,3.51,729.4
2500,0.14,45.85,2.48,731.35
2500,0.14,45.85,3.82,730.58
2500,0.14,45.85,3.86,730.2
2500,0.14,45.85,2.64,729.29
2500,0.14,45.85,2.39,730.41
2500,0.14,45.85,4.13,729.7
2500,0.14,45.85,3,730.56
2500,0.14,45.85,1.37,729.81
2500,0.14,45.85,1.22,729.86
2500,0.14,45.85,3.25,731.28
2500,0.14,45.85,3.75,729.57
2500,0.14,45.85,1.83,729.83
2500,0.14,45.85,3.07,730.51
2500,0.14,45.85,1.79,728.77
2500,0.14,45.85,2.61,729.21
2500,0.14,49.85,2.38,644.09
2500,0.14,49.85,1.77,644.45
2500,0.14,49.85,2.25,644.96
2500,0.14,49.85,4.08,643.56
2500,0.14,49.85,2.71,643.16
2500,0.14,49.85,3.57,643.94
2500,0.14,49.85,4.57,644.51
2500,0.14,49.85,3.22,642.87
2500,0.14,49.85,2.82,644.61
2500,0.14,49.85,3.42,643.08
2500,0.14,49.85,2.56,642.35
2500,0.14,49.85,2.29,642.94
2500,0.14,49.85,2.75,644.61
2500,0.14,49.85,2.15,644.51
2500,0.14,49.85,3.02,642.83
2500,0.14,49.85,3.13,642.82
2500,0.14,49.85,2.96,643.45
2500,0.14,49.85,4.9,642.66
2500,0.14,49.85,4.23,643.71
2500,0.14,49.85,3.15,642.45
2500,0.14,49.85,2.44,643.96
2500,0.14,49.85,4.47,644
2500,0.14,49.85,2.05,642.88
2500,0.14,49.85,3.09,643.81
2500,0.14,49.85,2.52,643.21
2500,0.14,49.85,1.54,644.18
2500,0.14,49.85,3.35,643.34
2500,0.14,49.85,1.99,643.63
2500,0.14,49.85,3.29,644.42
2500,0.14,49.85,2.18,643.92
2500,0.14,49.85,2.66,643.74
2500,0.14,49.85,2.84,643.54
2500,0.14,49.85,4.37,644.59
2500,0.14,49.85,3.2,642.66
2500,0.14,49.85,1.93,641.91
2500,0.14,49.85,2.4,643.85
2500,0.14,49.85,2.33,643.54
2500,0.14,49.85,3.47,644.21
2500,0.14,49.85,2.76,644.02
2500,0.14,49.85,3.62,643.39
2500,0.14,49.85,2.57,643.13
2500,0.14,49.85,3.49,644.25
2500,0.14,49.85,2.69,644.1
2500,0.14,49.85,2.02,642.86
2500,0.14,49.85,3.57,642.69
2500,0.14,49.85,1.65,643.24
2500,0.14,49.85,4.2,643.32
2500,0.14,49.85,3.92,643.69
2500,0.14,49.85,2.69,644.41
2500,0.14,49.85,2.36,643.78
